,gene_id,Gene names,type
47,ENSMUSG00000000435,Myf5 Myf-5,nucleus
48,ENSMUSG00000000441,Raf1 Craf,cytoplasm
49,ENSMUSG00000000531,Tamalin Grasp MNCb-4428,cytoplasm
50,ENSMUSG00000000552,Znf385a Hzf Zfp385a,nucleus
51,ENSMUSG00000000555,Itga5,cytoplasm
52,ENSMUSG00000000561,Wdr77 Mep50,nucleus
53,ENSMUSG00000000567,Sox9 Sox-9,nucleus
54,ENSMUSG00000000568,Hnrnpd Auf1 Hnrpd,nucleus
55,ENSMUSG00000000581,C1d Suncor,cytoplasm
56,ENSMUSG00000000600,Krit1 Ccm1,cytoplasm
57,ENSMUSG00000000627,Sema4f Semaw,integral membrane
58,ENSMUSG00000000632,Sez6 Kiaa4158,integral membrane
59,ENSMUSG00000000673,Haao,cytoplasm
60,ENSMUSG00000000690,Hoxb6 Hox-2.2 Hoxb-6,nucleus
61,ENSMUSG00000000693,Loxl3 Lor2,nucleus
62,ENSMUSG00000000706,Btn1a1 Btn,integral membrane
63,ENSMUSG00000000708,Kat2b Pcaf,nucleus
64,ENSMUSG00000000730,Dnmt3l,nucleus
65,ENSMUSG00000000731,Aire,nucleus
66,ENSMUSG00000000732,Icoslg B7h2 B7rp1 Icosl,integral membrane
67,ENSMUSG00000000751,Rpa1,nucleus
68,ENSMUSG00000000759,Tubgcp3 Gcp3,cytoplasm
69,ENSMUSG00000000766,Oprm1 Mor Oprm,cytoplasm
70,ENSMUSG00000000776,Polr3d Bn51t,nucleus
71,ENSMUSG00000000782,Tcf7 Tcf-1 Tcf1,nucleus
72,ENSMUSG00000000787,Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh,nucleus
73,ENSMUSG00000000794,Kcnn3 Sk3,integral membrane
74,ENSMUSG00000000817,Faslg Apt1lg1 Cd95l Fasl gld Tnfsf6,integral membrane
75,ENSMUSG00000000827,Tpd52l2,cytoplasm
76,ENSMUSG00000000861,Bcl11a Ctip1 Evi9 Kiaa1809,nucleus
77,ENSMUSG00000000876,Pxmp4 Pmp24,integral membrane
78,ENSMUSG00000000881,Dlg3 Dlgh3,cytoplasm
79,ENSMUSG00000000884,Gnb1l Estm55 Wdr14,cytoplasm
80,ENSMUSG00000000889,Dbh,integral membrane
81,ENSMUSG00000000902,Smarcb1 Baf47 Ini1 Snf5l1,nucleus
82,ENSMUSG00000000938,Hoxa10 Hox-1.8 Hoxa-10,nucleus
83,ENSMUSG00000000948,Snurf,nucleus
84,ENSMUSG00000000957,Mmp14 Mtmmp,integral membrane
85,ENSMUSG00000000958,Slc7a7,integral membrane
86,ENSMUSG00000000982,Ccl3 Mip1a Scya3,cytoplasm
87,ENSMUSG00000001014,Icam4,cytoplasm
88,ENSMUSG00000001016,Ilf2 Nf45,nucleus
89,ENSMUSG00000001020,S100a4 Capl Mts1,nucleus
90,ENSMUSG00000001023,S100a5 S100d,nucleus
91,ENSMUSG00000001025,S100a6 Cacy,nucleus
92,ENSMUSG00000001034,Mapk7 Bmk1 Erk5,nucleus
93,ENSMUSG00000001039,B9d1 Eppb9,cytoplasm
94,ENSMUSG00000001054,Rmnd5b,nucleus
95,ENSMUSG00000001065,Znf276 Zfp276,nucleus
96,ENSMUSG00000001082,Mfsd10 Tetran,integral membrane
97,ENSMUSG00000001089,Luzp1 Luzp,nucleus
98,ENSMUSG00000001095,Slc13a2 Nadc1 Sdct1,integral membrane
99,ENSMUSG00000001100,Poldip2,nucleus
100,ENSMUSG00000001103,Sebox Og9x,nucleus
101,ENSMUSG00000001120,Pcbp3,nucleus
102,ENSMUSG00000001123,Lgals9,nucleus
103,ENSMUSG00000001134,Uxt,nucleus
104,ENSMUSG00000001138,Cnnm3 Acdp3,integral membrane
105,ENSMUSG00000001143,Lman2l Vipl,integral membrane
106,ENSMUSG00000001150,Mcm3ap Ganp Map80,nucleus
107,ENSMUSG00000001157,Gmcl1 Gcl Gcl1,nucleus
108,ENSMUSG00000001158,Snrnp27,nucleus
109,ENSMUSG00000001173,Ocrl Ocrl1,nucleus
110,ENSMUSG00000001175,Calm2 Cam2 CamC,nucleus
111,ENSMUSG00000001175,Calm1 Calm Cam Cam1,nucleus
112,ENSMUSG00000001175,Calm3 Cam3 Camc,nucleus
113,ENSMUSG00000001211,Agpat3 Lpaat3,integral membrane
114,ENSMUSG00000001228,Uhrf1 Np95,nucleus
115,ENSMUSG00000001240,Ramp2,cytoplasm
116,ENSMUSG00000001247,Lsr Lisch7,integral membrane
117,ENSMUSG00000001248,Gramd1a D7Bwg0611e Kiaa1533,integral membrane
118,ENSMUSG00000001249,Hpn,integral membrane
119,ENSMUSG00000001270,Ckb Ckbb,nucleus
120,ENSMUSG00000001280,Sp1,nucleus
121,ENSMUSG00000001285,Myg1,nucleus
122,ENSMUSG00000001288,Rarg Nr1b3,nucleus
123,ENSMUSG00000001289,Pfdn5 Eig1 Mm1 Pfd5,nucleus
124,ENSMUSG00000001323,Srr,cytoplasm
125,ENSMUSG00000001333,Sync Sync1,cytoplasm
126,ENSMUSG00000001334,Fndc5 Frcp2 Pep,integral membrane
127,ENSMUSG00000001366,Fbxo9 MNCb-2471,cytoplasm
128,ENSMUSG00000001380,Hars1 Hars,cytoplasm
129,ENSMUSG00000001383,Zmat2,nucleus
130,ENSMUSG00000001403,Ube2c Ubch10,nucleus
131,ENSMUSG00000001415,Smg5 Est1b Kiaa1089,nucleus
132,ENSMUSG00000001418,Glmp,integral membrane
133,ENSMUSG00000001419,Mef2d,nucleus
134,ENSMUSG00000001420,Tmem79 Matt,integral membrane
135,ENSMUSG00000001424,Snd1,nucleus
136,ENSMUSG00000001440,Kpnb1 Impnb,nucleus
137,ENSMUSG00000001441,Npepps Psa,nucleus
138,ENSMUSG00000001444,Tbx21 Tbet Tblym,nucleus
139,ENSMUSG00000001467,Cyp51a1 Cyp51,integral membrane
140,ENSMUSG00000001472,Tcf25 D8Ertd325e Nulp1,nucleus
141,ENSMUSG00000001473,Tubb6,cytoplasm
142,ENSMUSG00000001493,Meox1 Mox-1 Mox1,nucleus
143,ENSMUSG00000001496,Nkx2-1 Nkx-2.1 Titf1 Ttf1,nucleus
144,ENSMUSG00000001497,Pax9 Pax-9,nucleus
145,ENSMUSG00000001504,Irx2 Irx6 Irxa2,nucleus
146,ENSMUSG00000001506,Col1a1 Cola1,cytoplasm
147,ENSMUSG00000001508,Sgca,cytoplasm
148,ENSMUSG00000001510,Dlx3,nucleus
149,ENSMUSG00000001520,Nrip2 Nix1,nucleus
150,ENSMUSG00000001521,Tulp3,nucleus
151,ENSMUSG00000001524,Gtf2h4,nucleus
152,ENSMUSG00000001525,Tubb5,nucleus
153,ENSMUSG00000001552,Jup,nucleus
154,ENSMUSG00000001558,Klhl10,cytoplasm
155,ENSMUSG00000001566,Mnx1 Hlxb9,nucleus
156,ENSMUSG00000001583,Tnk1 Kos1,cytoplasm
157,ENSMUSG00000001604,Tcea3 Tfiish,nucleus
158,ENSMUSG00000001627,Ifrd1 Tis7,nucleus
159,ENSMUSG00000001630,Stk38l Ndr2,cytoplasm
160,ENSMUSG00000001632,Brpf1,nucleus
161,ENSMUSG00000001655,Hoxc13 Hoxc-13,nucleus
162,ENSMUSG00000001656,Hoxc11 Hox-3.7 Hoxc-11,nucleus
163,ENSMUSG00000001657,Hoxc8 Hox-3.1 Hoxc-8,nucleus
164,ENSMUSG00000001661,Hoxc6 Hox-3.3 Hoxc-6,nucleus
165,ENSMUSG00000001663,Gstt1,nucleus
166,ENSMUSG00000001665,Gstt3,cytoplasm
167,ENSMUSG00000001666,Ddt,cytoplasm
168,ENSMUSG00000001707,Eef1e1,nucleus
169,ENSMUSG00000001729,Akt1 Akt Rac,nucleus
170,ENSMUSG00000001739,Cldn15,integral membrane
171,ENSMUSG00000001761,Smo Smoh,integral membrane
172,ENSMUSG00000001763,Tspan33 Pen,cytoplasm
173,ENSMUSG00000001767,Crnkl1,nucleus
174,ENSMUSG00000001768,Rin2,cytoplasm
175,ENSMUSG00000001773,Folh1 Mopsm Naalad1,integral membrane
176,ENSMUSG00000001783,Rtcb D10Wsu52e,nucleus
177,ENSMUSG00000001785,Pwp1,nucleus
178,ENSMUSG00000001786,Fbxo7,nucleus
179,ENSMUSG00000001804,Dsg4,integral membrane
180,ENSMUSG00000001815,Evx2 Evx-2,nucleus
181,ENSMUSG00000001819,Hoxd13 Hox-4.8,nucleus
182,ENSMUSG00000001823,Hoxd12 Hox-4.7 Hoxd-12,nucleus
183,ENSMUSG00000001827,Folr1 Fbp1 Folbp1,nucleus
184,ENSMUSG00000001829,Clpb Skd3,cytoplasm
185,ENSMUSG00000001844,Zdhhc4,integral membrane
186,ENSMUSG00000001847,Rac1,nucleus
187,ENSMUSG00000001864,Aif1l Iba2,cytoplasm
188,ENSMUSG00000001870,Ltbp1,cytoplasm
189,ENSMUSG00000001891,Ugp2,cytoplasm
190,ENSMUSG00000001910,Nacc1 Btbd14b Nac1,nucleus
191,ENSMUSG00000001911,Nfix,nucleus
192,ENSMUSG00000001924,Uba1 Sbx Ube1 Ube1ax Ube1x,nucleus
193,ENSMUSG00000001946,Esam Esam1,integral membrane
194,ENSMUSG00000001948,Spa17 Sp17,cytoplasm
195,ENSMUSG00000001962,Fam50a D0HXS9928E Xap5,nucleus
196,ENSMUSG00000001964,Emd Sta,integral membrane
197,ENSMUSG00000001988,Npas1,nucleus
198,ENSMUSG00000001995,Sipa1l2 Kiaa0545,cytoplasm
199,ENSMUSG00000002007,Srpk3 Mssk1 Stk23,nucleus
200,ENSMUSG00000002012,Pnck,nucleus
201,ENSMUSG00000002014,Ssr4,integral membrane
202,ENSMUSG00000002028,Kmt2a All1 Hrx Mll Mll1,nucleus
203,ENSMUSG00000002031,Ift46,cytoplasm
204,ENSMUSG00000002032,Tmem25,integral membrane
205,ENSMUSG00000002033,Cd3g,integral membrane
206,ENSMUSG00000002055,Spag5,cytoplasm
207,ENSMUSG00000002057,Foxn1 Fkh19 Hfh11 Whn,nucleus
208,ENSMUSG00000002058,Unc119 Unc119h,cytoplasm
209,ENSMUSG00000002068,Ccne1 Ccne,nucleus
210,ENSMUSG00000002076,Hsf2bp Meilb2,cytoplasm
211,ENSMUSG00000002102,Psmc3 Tbp1,nucleus
212,ENSMUSG00000002103,Acp2,integral membrane
213,ENSMUSG00000002105,Slc39a13 Zip13,integral membrane
214,ENSMUSG00000002107,Celf2 Cugbp2 Napor,nucleus
215,ENSMUSG00000002108,Nr1h3 Lxra,nucleus
216,ENSMUSG00000002109,Ddb2,nucleus
217,ENSMUSG00000002111,Spi1 Sfpi-1 Sfpi1,nucleus
218,ENSMUSG00000002129,Sf3a1,nucleus
219,ENSMUSG00000002147,Stat6,nucleus
220,ENSMUSG00000002190,Clgn Meg1,integral membrane
221,ENSMUSG00000002205,Vrk3,nucleus
222,ENSMUSG00000002221,Paxip1 Ptip,nucleus
223,ENSMUSG00000002222,Rmnd5a,nucleus
224,ENSMUSG00000002227,Mov10 Gb110,nucleus
225,ENSMUSG00000002233,Rhoc Arhc,nucleus
226,ENSMUSG00000002250,Ppard Nr1c2 Pparb,nucleus
227,ENSMUSG00000002257,Def6 Ibp Slat,nucleus
228,ENSMUSG00000002265,Peg3 Kiaa0287 Pw1,nucleus
229,ENSMUSG00000002279,Lmf1 Tmem112,integral membrane
230,ENSMUSG00000002297,Dbf4 Dbf4a,nucleus
231,ENSMUSG00000002319,Ipo4 Imp4a Ranbp4,nucleus
232,ENSMUSG00000002320,Tm9sf1,integral membrane
233,ENSMUSG00000002324,Rec8 Mei8 Rec8L1,nucleus
234,ENSMUSG00000002325,Irf9 Isgf3g,nucleus
235,ENSMUSG00000002342,Tmem161a,integral membrane
236,ENSMUSG00000002346,Slc25a42,integral membrane
237,ENSMUSG00000002365,Snx9,cytoplasm
238,ENSMUSG00000002372,Ranbp3,nucleus
239,ENSMUSG00000002393,Nr2f6 Ear-2 Ear2 Erbal2,nucleus
240,ENSMUSG00000002395,Use1 Use1l,integral membrane
241,ENSMUSG00000002409,Dyrk1b,nucleus
242,ENSMUSG00000002413,Braf B-raf,nucleus
243,ENSMUSG00000002428,Hltf Smarca3 Snf2l3 Zbu1,cytoplasm
244,ENSMUSG00000002455,Prpf6,nucleus
245,ENSMUSG00000002458,Rgs19,cytoplasm
246,ENSMUSG00000002459,Rgs20 Rgsz1,nucleus
247,ENSMUSG00000002475,Abhd3 Labh3,integral membrane
248,ENSMUSG00000002477,Snrpd1,nucleus
249,ENSMUSG00000002486,Tchp,cytoplasm
250,ENSMUSG00000002546,Golga2,cytoplasm
251,ENSMUSG00000002565,Scin,cytoplasm
252,ENSMUSG00000002603,Tgfb1,nucleus
253,ENSMUSG00000002633,Shh Hhg1,nucleus
254,ENSMUSG00000002635,Pdcd2l,cytoplasm
255,ENSMUSG00000002658,Gtf2f1,nucleus
256,ENSMUSG00000002679,Med6,nucleus
257,ENSMUSG00000002688,Prkd1 Pkcm Pkd Prkcm,nucleus
258,ENSMUSG00000002728,Naa20 Nat5,nucleus
259,ENSMUSG00000002731,Prkra Rax,cytoplasm
260,ENSMUSG00000002741,Ykt6,cytoplasm
261,ENSMUSG00000002748,Baz1b Wbscr9 Wstf,nucleus
262,ENSMUSG00000002763,Pex6,cytoplasm
263,ENSMUSG00000002768,Mea1 Mea,cytoplasm
264,ENSMUSG00000002778,Kdelr1,integral membrane
265,ENSMUSG00000002804,Nudt14,cytoplasm
266,ENSMUSG00000002812,Flii Fli1 Fliih,nucleus
267,ENSMUSG00000002814,Top3a Top3,nucleus
268,ENSMUSG00000002825,Qtrt1 Tgt Tgut,nucleus
269,ENSMUSG00000002833,Hdgfl2 Hdgfrp2,nucleus
270,ENSMUSG00000002835,Chaf1a Caip150,nucleus
271,ENSMUSG00000002845,Tmem39a,integral membrane
272,ENSMUSG00000002846,Timmdc1,integral membrane
273,ENSMUSG00000002870,Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2,nucleus
274,ENSMUSG00000002871,Tpra1 Gpr175 Tpra40,integral membrane
275,ENSMUSG00000002881,Nab1,nucleus
276,ENSMUSG00000002897,Il17ra Il17r,integral membrane
277,ENSMUSG00000002900,Lamb1 Lamb-1 Lamb1-1,nucleus
278,ENSMUSG00000002910,Arrdc2,cytoplasm
279,ENSMUSG00000002944,Cd36,integral membrane
280,ENSMUSG00000002948,Map2k7 Mkk7,nucleus
281,ENSMUSG00000002981,Clptm1 N14,integral membrane
282,ENSMUSG00000002983,Relb,nucleus
283,ENSMUSG00000002984,Tomm40 Mom35 Tom40,integral membrane
284,ENSMUSG00000002985,Apoe,cytoplasm
285,ENSMUSG00000002997,Prkar2b,cytoplasm
286,ENSMUSG00000003031,Cdkn1b,nucleus
287,ENSMUSG00000003032,Klf4 Ezf Gklf Zie,nucleus
288,ENSMUSG00000003038,Hmgn2 Hmg-17 Hmg17,nucleus
289,ENSMUSG00000003051,Elf3 Ert Esx Jen,nucleus
290,ENSMUSG00000003053,Cyp2c29,cytoplasm
291,ENSMUSG00000003062,Stard3nl Mentho,integral membrane
292,ENSMUSG00000003068,Stk11 Lkb1,nucleus
293,ENSMUSG00000003099,Ppp5c,nucleus
294,ENSMUSG00000003119,Cdk12 Crk7 Crkrs Kiaa0904,nucleus
295,ENSMUSG00000003123,Lipe,nucleus
296,ENSMUSG00000003131,Pafah1b2 Pafahb,cytoplasm
297,ENSMUSG00000003135,Cnot11 D1Bwg0212e,nucleus
298,ENSMUSG00000003153,Slc2a3 Glut3,integral membrane
299,ENSMUSG00000003154,Foxj2 Fhx,nucleus
300,ENSMUSG00000003184,Irf3,nucleus
301,ENSMUSG00000003200,Sh3gl1 Sh3d2b,cytoplasm
302,ENSMUSG00000003226,Ranbp2,cytoplasm
303,ENSMUSG00000003227,Edar Dl,integral membrane
304,ENSMUSG00000003233,Dvl3,cytoplasm
305,ENSMUSG00000003235,Eif2b5,nucleus
306,ENSMUSG00000003269,Cyth2 Pscd2 Sec7b,cytoplasm
307,ENSMUSG00000003271,Sult2b1 Sult2b,nucleus
308,ENSMUSG00000003283,Hck,nucleus
309,ENSMUSG00000003308,Keap1 Inrf2 Kiaa0132,nucleus
310,ENSMUSG00000003316,Glg1 Esl1 Mg160 Selel,integral membrane
311,ENSMUSG00000003341,Atp8b3,integral membrane
312,ENSMUSG00000003345,Csnk1g2 Ck1g2,nucleus
313,ENSMUSG00000003352,Cacnb3 Cacnlb3,cytoplasm
314,ENSMUSG00000003355,Fkbp11,integral membrane
315,ENSMUSG00000003363,Pld3 Sam9,integral membrane
316,ENSMUSG00000003379,Cd79a Iga Mb-1,integral membrane
317,ENSMUSG00000003380,Rabac1 Pra Pra1 Praf1,integral membrane
318,ENSMUSG00000003382,Etv3 Mets Pe1,nucleus
319,ENSMUSG00000003411,Rab3b,cytoplasm
320,ENSMUSG00000003418,St8sia6 Siat8f,integral membrane
321,ENSMUSG00000003420,Fcgrt Fcrn,integral membrane
322,ENSMUSG00000003421,Nosip,nucleus
323,ENSMUSG00000003423,Pih1d1 Nop17,nucleus
324,ENSMUSG00000003435,Supt5h Supt5,nucleus
325,ENSMUSG00000003436,Dll3,integral membrane
326,ENSMUSG00000003437,Paf1,cytoplasm
327,ENSMUSG00000003438,Timm50 Tim50,integral membrane
328,ENSMUSG00000003458,Ncstn,integral membrane
329,ENSMUSG00000003464,Pex19 Pxf,integral membrane
330,ENSMUSG00000003469,Phyhip,cytoplasm
331,ENSMUSG00000003476,Crhr2 Crf2r,integral membrane
332,ENSMUSG00000003484,Cyp4f3 Cyp4f18,integral membrane
333,ENSMUSG00000003500,Impdh1,nucleus
334,ENSMUSG00000003518,Dusp3,nucleus
335,ENSMUSG00000003527,Ess2 Dgcr14 Dgsi Es2 Es2el,nucleus
336,ENSMUSG00000003528,Slc25a1,integral membrane
337,ENSMUSG00000003534,Ddr1 Cak Eddr1 Mpk6,cytoplasm
338,ENSMUSG00000003545,Fosb,nucleus
339,ENSMUSG00000003546,Klc4 Knsl8,cytoplasm
340,ENSMUSG00000003549,Ercc1 Ercc-1,nucleus
341,ENSMUSG00000003573,Homer3,cytoplasm
342,ENSMUSG00000003575,Crtc1 Kiaa0616 Mect1 Torc1,nucleus
343,ENSMUSG00000003581,Rnf215,integral membrane
344,ENSMUSG00000003644,Rps6ka1 Mapkapk1a Rsk1,nucleus
345,ENSMUSG00000003657,Calb2,nucleus
346,ENSMUSG00000003660,Snrnp200 Kiaa0788,nucleus
347,ENSMUSG00000003662,Ciao1 Wdr39,cytoplasm
348,ENSMUSG00000003665,Has1 Has,cytoplasm
349,ENSMUSG00000003680,Taf6l Paf65a,nucleus
350,ENSMUSG00000003731,Kpna6 Kpna5,nucleus
351,ENSMUSG00000003746,Man1a1 Man1a,integral membrane
352,ENSMUSG00000003752,Itpkc,nucleus
353,ENSMUSG00000003779,Kif20a Rab6kifl,nucleus
354,ENSMUSG00000003808,Farsa Farsla,cytoplasm
355,ENSMUSG00000003813,Rad23a Mhr23a,nucleus
356,ENSMUSG00000003814,Calr,nucleus
357,ENSMUSG00000003824,Syce2 Cesc1,nucleus
358,ENSMUSG00000003847,Nfat5,nucleus
359,ENSMUSG00000003848,Nob1,nucleus
360,ENSMUSG00000003849,Nqo1 Dia4 Nmo1 Nmor1,cytoplasm
361,ENSMUSG00000003863,Ppfia3,cytoplasm
362,ENSMUSG00000003865,Gys1 Gys Gys3,cytoplasm
363,ENSMUSG00000003868,Ruvbl2,nucleus
364,ENSMUSG00000003873,Bax,integral membrane
365,ENSMUSG00000003882,Il7r,integral membrane
366,ENSMUSG00000003923,Tfam Hmgts,nucleus
367,ENSMUSG00000003948,Mmd Paqr11,integral membrane
368,ENSMUSG00000003949,Hlf,nucleus
369,ENSMUSG00000003955,Fam162a E2ig5,integral membrane
370,ENSMUSG00000003992,Ssbp2 Ssdp2,nucleus
371,ENSMUSG00000004018,Fancl Phf9 Pog,nucleus
372,ENSMUSG00000004032,Gstm5 Fsc2 Gstm3,cytoplasm
373,ENSMUSG00000004035,Gstm7,cytoplasm
374,ENSMUSG00000004038,Gstm3,cytoplasm
375,ENSMUSG00000004040,Stat3 Aprf,nucleus
376,ENSMUSG00000004043,Stat5a Mgf Mpf,nucleus
377,ENSMUSG00000004044,Cavin1 Ptrf,nucleus
378,ENSMUSG00000004054,Map3k11 Mlk3,cytoplasm
379,ENSMUSG00000004056,Akt2,nucleus
380,ENSMUSG00000004069,Dnaja3 Tid1,nucleus
381,ENSMUSG00000004071,Cdip1,nucleus
382,ENSMUSG00000004085,Map3k20 Mltk Zak,nucleus
383,ENSMUSG00000004096,Cwc15 Ed1,nucleus
384,ENSMUSG00000004099,Dnmt1 Dnmt Met1 Uim,nucleus
385,ENSMUSG00000004100,Ppan Ssf1,nucleus
386,ENSMUSG00000004151,Etv1 Er81 Etsrp81,nucleus
387,ENSMUSG00000004207,Psap Sgp1,cytoplasm
388,ENSMUSG00000004221,Ikbkg Nemo,nucleus
389,ENSMUSG00000004263,Atn1 Drpla,nucleus
390,ENSMUSG00000004264,Phb2 Bap Bcap37 Rea,nucleus
391,ENSMUSG00000004266,Ptpn6 Hcp Hcph Ptp1C,nucleus
392,ENSMUSG00000004267,Eno2 Eno-2,cytoplasm
393,ENSMUSG00000004270,Lpcat3 Grcc3f Mboat5 Oact5,integral membrane
394,ENSMUSG00000004296,Il12b,cytoplasm
395,ENSMUSG00000004319,Clcn3 Clc3,integral membrane
396,ENSMUSG00000004328,Hif3a Mop7 Nepas,nucleus
397,ENSMUSG00000004359,Spic,nucleus
398,ENSMUSG00000004364,Cul3,nucleus
399,ENSMUSG00000004371,Il11,cytoplasm
400,ENSMUSG00000004383,Large1 Kiaa0609 Large,integral membrane
401,ENSMUSG00000004394,Tmed4 Ers25,integral membrane
402,ENSMUSG00000004446,Bid,cytoplasm
403,ENSMUSG00000004455,Ppp1cc,nucleus
404,ENSMUSG00000004460,Dnajb11,nucleus
405,ENSMUSG00000004462,Tbccd1,cytoplasm
406,ENSMUSG00000004473,Clec11a Scgf,cytoplasm
407,ENSMUSG00000004558,Ndrg2 Kiaa1248 Ndr2,nucleus
408,ENSMUSG00000004565,Pnpla6 Nte,integral membrane
409,ENSMUSG00000004567,Mcoln1 Trpml1,integral membrane
410,ENSMUSG00000004591,Pkn2 Prk2 Prkcl2,nucleus
411,ENSMUSG00000004609,Cd33 Siglec3,integral membrane
412,ENSMUSG00000004626,Stxbp2 Unc18b,cytoplasm
413,ENSMUSG00000004637,Wwox Wox1,nucleus
414,ENSMUSG00000004642,Slbp Hbp,nucleus
415,ENSMUSG00000004651,Tyr,integral membrane
416,ENSMUSG00000004654,Ghrhr Grfr,integral membrane
417,ENSMUSG00000004655,Aqp1,integral membrane
418,ENSMUSG00000004661,Arid3b Bdp Dril2,nucleus
419,ENSMUSG00000004667,Polr2e,nucleus
420,ENSMUSG00000004668,Abca13,integral membrane
421,ENSMUSG00000004707,Ly9 Ly-9,integral membrane
422,ENSMUSG00000004709,Cd244 2b4 Nmrk,integral membrane
423,ENSMUSG00000004748,Mtfp1 Mtp18,integral membrane
424,ENSMUSG00000004771,Rab11a Rab11,cytoplasm
425,ENSMUSG00000004788,Eif2b2,cytoplasm
426,ENSMUSG00000004789,Dlst,nucleus
427,ENSMUSG00000004815,Dgkq,nucleus
428,ENSMUSG00000004821,Tmed11,integral membrane
429,ENSMUSG00000004842,Pou1f1 Pit-1 Pit1,nucleus
430,ENSMUSG00000004843,Chmp2b,cytoplasm
431,ENSMUSG00000004864,Mapk13 Serk4,nucleus
432,ENSMUSG00000004865,Srpk1,nucleus
433,ENSMUSG00000004872,Pax3 Pax-3,nucleus
434,ENSMUSG00000004880,Lbr,integral membrane
435,ENSMUSG00000004885,Crabp2,nucleus
436,ENSMUSG00000004891,Nes,cytoplasm
437,ENSMUSG00000004897,Hdgf Tdrm1,nucleus
438,ENSMUSG00000004902,Slc25a18 Gc2,integral membrane
439,ENSMUSG00000004931,Apba3 Mint3,cytoplasm
440,ENSMUSG00000004934,Pias4 Piasg,nucleus
441,ENSMUSG00000004936,Map2k1 Mek1 Prkmk1,nucleus
442,ENSMUSG00000004937,Sgta Sgt,nucleus
443,ENSMUSG00000004945,Tmem242,integral membrane
444,ENSMUSG00000004947,Dtx2,cytoplasm
445,ENSMUSG00000004948,Zp3 Zp-3 Zpc,integral membrane
446,ENSMUSG00000004951,Hspb1 Hsp25 Hsp27,nucleus
447,ENSMUSG00000004980,Hnrnpa2b1 Hnrpa2b1,nucleus
448,ENSMUSG00000005034,Prkacb Pkacb,nucleus
449,ENSMUSG00000005045,Chd5 Kiaa0444,nucleus
450,ENSMUSG00000005054,Cstb Cst6 Stfb,nucleus
451,ENSMUSG00000005057,Sh2b2 Aps,cytoplasm
452,ENSMUSG00000005069,Pex5 Pxr1,cytoplasm
453,ENSMUSG00000005078,Jkamp Jamp,integral membrane
454,ENSMUSG00000005107,Slc2a9 Glut9,integral membrane
